Averaged perceptron, 20 iterations:

Instance accuracy: 0.9140
Item accuracy: 0.9852 (0.9044 ignorand clasa zero)

label   &    precision  &       recall  &       counts  \\
0       &       0.9971  &       0.9987  &       44189   \\
T1      &       0.7463  &       0.6259  &       719     \\
T10     &       nan     &       0.0000  &       2       \\
T11     &       0.7211  &       0.5730  &       185     \\
T12     &       0.9981  &       0.9994  &       1553    \\
T13     &       0.8419  &       0.9122  &       467     \\
T14     &       0.9231  &       0.8889  &       27      \\
T15     &       0.5000  &       0.6000  &       5       \\
T16     &       1.0000  &       0.8929  &       28      \\
T2      &       0.6667  &       0.5556  &       18      \\
T3      &       1.0000  &       0.7500  &       8       \\
T4      &       0.5000  &       0.3750  &       16      \\
T5      &       0.9307  &       0.9653  &       3311    \\
T6      &       0.9534  &       0.9779  &       272     \\
T7      &       0.6154  &       0.5581  &       86      \\
T8      &       0.9865  &       0.9932  &       295     \\
T9      &       1.0000  &       1.0000  &       15      \\
a0      &       0.9091  &       0.8000  &       25      \\
a1      &       nan     &       0.0000  &       4       \\
a2      &       0.8889  &       0.7273  &       11      \\
a4      &       nan     &       0.0000  &       1       \\
c0      &       1.0000  &       0.6000  &       5       \\
d0      &       0.9839  &       1.0000  &       61      \\
e0      &       1.0000  &       0.4000  &       5       \\
e1      &       1.0000  &       1.0000  &       2       \\
e2      &       nan     &       0.0000  &       4       \\
e3      &       0.8571  &       1.0000  &       6       \\
n0      &       0.9756  &       0.9756  &       41      \\
o0      &       0.3333  &       0.1667  &       6       \\
s0      &       0.2727  &       0.2308  &       13      \\
s1      &       1.0000  &       0.7143  &       7       \\
t0      &       0.6639  &       0.5000  &       158     \\
t1      &       1.0000  &       0.7143  &       7       \\
u0      &       nan     &       0.0000  &       2       \\
