size  	ratio	sg_err	pl_err	error 	sg_std  	pl_std  	std
1515	0.05	0.9907	0.9343	0.9256	3.01e-04	3.99e-02	3.96e-02
4714	0.16	0.9909	0.9369	0.9285	2.96e-04	3.00e-02	2.98e-02
7913	0.26	0.9910	0.9420	0.9338	3.13e-04	2.04e-02	2.02e-02
11112	0.37	0.9911	0.9388	0.9307	3.13e-04	1.84e-02	1.82e-02
14312	0.47	0.9913	0.9354	0.9276	3.54e-04	1.48e-02	1.46e-02
17511	0.58	0.9913	0.9345	0.9268	3.13e-04	1.26e-02	1.24e-02
20710	0.68	0.9913	0.9334	0.9258	2.62e-04	1.13e-02	1.11e-02
23909	0.79	0.9914	0.9338	0.9262	2.58e-04	8.67e-03	8.56e-03
27108	0.89	0.9915	0.9335	0.9261	1.72e-04	5.46e-03	5.41e-03
30308	1.00	0.9917	0.9322	0.9251	1.78e-15	0.00e+00	1.33e-15
